#rxn ID	rxn (extended name)	rxn codes (Rhea ID/EC number)	UniProt IDs (other organisms)	top hit (target organism)	other hits (target organism)
INSt2	inosine transport in via proton symport	RHEA:29965, RHEA:29963, RHEA:29964, RHEA:29966	P0AFF4	('Q6C2L1', 0.7671)	('Q6CB15', 0.7231), ('Q6CB72', 0.7214), ('Q6C0D7', 0.7196), ('Q6C8M0', 0.7174), ('Q6C745', 0.7145), ('F2Z6D9', 0.7098), ('Q6CBU1', 0.7072), ('Q6C0H0', 0.7034), ('Q6C448', 0.702), ('Q6C8F4', 0.6991), ('Q6C3Q6', 0.6976), ('Q6CCM3', 0.6967), ('Q6C8H5', 0.6939), ('Q6C8N0', 0.6925), ('Q6C8H4', 0.6922), ('Q6CE20', 0.69), ('Q6C920', 0.6883), ('Q6CHB2', 0.6863), ('Q6C8Z9', 0.6847), ('Q6CDU0', 0.6847), ('Q6C4G5', 0.6827), ('Q6C2K7', 0.6786), ('Q6BZZ0', 0.6783), ('Q6CBR6', 0.6778), ('Q6CEE0', 0.6776), ('Q6CCR5', 0.677), ('Q6CD18', 0.676), ('Q6C3G0', 0.674), ('Q6C8P9', 0.6738), ('Q6C819', 0.6729), ('Q6CE30', 0.6722), ('Q6C8E3', 0.6711), ('Q6CBM9', 0.6678), ('Q6CCQ9', 0.6678), ('Q6C155', 0.6661), ('Q6C8F6', 0.6605), ('Q6CCU2', 0.6604), ('Q6CGV6', 0.6601), ('Q6C9D4', 0.66), ('Q6CCF5', 0.66), ('Q6C8K6', 0.6588), ('Q6C3H0', 0.6584), ('Q6C718', 0.6572), ('Q6C2L7', 0.6564), ('Q6CBN6', 0.6561), ('Q6C8C4', 0.656), ('Q6CD19', 0.655), ('Q6C4F3', 0.6537), ('Q6C581', 0.6533), ('Q6CDG0', 0.6532), ('Q6C7W7', 0.6532), ('Q6CBM5', 0.6529), ('Q6CG30', 0.6505), ('Q6C0K5', 0.6498), ('Q6CAS2', 0.6498), ('Q6CDU4', 0.6496), ('Q6CGR1', 0.6493), ('Q6CBB3', 0.6487), ('Q6CHM0', 0.6472), ('Q6CGP0', 0.6472), ('Q6C4W0', 0.6459), ('W0TYN6', 0.6458), ('Q6CGW3', 0.6455), ('Q6CFJ8', 0.6448), ('Q6CE82', 0.6439), ('Q6C9M0', 0.6439), ('Q6C6Y3', 0.6428), ('Q6CGJ0', 0.6411), ('Q6C2G6', 0.641), ('Q6CGU8', 0.641), ('Q6CCC4', 0.6401), ('Q6CFJ6', 0.6397), ('Q6CCV9', 0.6393), ('Q6C137', 0.638), ('Q6CDV0', 0.6374), ('Q6CI42', 0.6373), ('Q6C878', 0.6363), ('Q6C4F7', 0.6352), ('Q6C025', 0.6343), ('Q6C6D0', 0.6337), ('Q6C1T2', 0.6335), ('Q6CA52', 0.633), ('Q6C0X7', 0.6329), ('Q6CGX6', 0.6325), ('Q6CBN7', 0.6296), ('Q6CB29', 0.6289), ('Q6CGY6', 0.6285), ('Q6CG86', 0.6284), ('Q6C1A0', 0.6271), ('Q6C2Q4', 0.6264), ('Q6C2L4', 0.6248), ('Q6C539', 0.6232), ('Q6CDG9', 0.6232), ('Q6C9U1', 0.6232), ('Q6C1S6', 0.6228), ('Q6C1G6', 0.6223), ('Q6CCK8', 0.622), ('Q6CC59', 0.6209), ('Q6CBM4', 0.6204), ('Q6C152', 0.6202), ('Q6C053', 0.6195), ('Q6CEH9', 0.6194), ('Q6C8Y0', 0.6192), ('Q6CCJ1', 0.6171), ('Q6C576', 0.617), ('Q6C335', 0.617), ('Q6CB18', 0.6167), ('Q6CC13', 0.6161), ('Q6CD56', 0.616), ('Q6CI95', 0.6148), ('Q6CA69', 0.6145), ('Q6CFC0', 0.6144), ('Q6C0W8', 0.6138), ('Q6C1S0', 0.6109), ('Q6C1C6', 0.6105), ('Q6CGP4', 0.6104), ('Q6CH77', 0.6103), ('Q6C039', 0.6099), ('Q6CD26', 0.6085), ('Q6CCP4', 0.6081), ('Q6C8F0', 0.6079), ('Q6C7X0', 0.6076), ('Q6CAT5', 0.6073), ('Q6C4M8', 0.6066), ('Q6CCU6', 0.6064), ('Q6C574', 0.6062), ('Q6C952', 0.6055), ('Q6C2Z8', 0.6048), ('Q6C0E0', 0.6042), ('Q6C031', 0.6037), ('Q6CAS4', 0.6033), ('Q6CE31', 0.6023), ('Q6CH11', 0.6015), ('Q6CBN8', 0.6014), ('Q6CI92', 0.6005), ('Q6CGJ2', 0.6001), ('Q6C0D8', 0.5988), ('Q6C843', 0.596), ('F2Z653', 0.5925), ('Q6CG07', 0.5919), ('Q6CD09', 0.5915), ('Q6CHZ5', 0.5908), ('Q6CD11', 0.5895), ('Q6CI79', 0.5894), ('Q6CD90', 0.5889), ('Q6C0J9', 0.5884), ('Q6CEA9', 0.5817), ('Q6CBQ5', 0.5807), ('Q6CG69', 0.5805), ('Q6CD98', 0.5799), ('Q6C5H1', 0.5793), ('Q6CDF9', 0.5787), ('Q6C7X3', 0.5785), ('Q6C9N1', 0.5772), ('Q6CAP1', 0.5742), ('Q6CE14', 0.5699), ('Q6C1Q4', 0.562), ('Q6C300', 0.5468), ('Q6CDB1', 0.5401), ('Q6BZW3', 0.5145)
OMPDC	orotidine 5 phosphate decarboxylase	RHEA:11599, RHEA:11598, RHEA:11597, RHEA:11596, EC:4.1.1.23	P58642, Q9KXR8, Q9LDN2, P0A5M7, Q42586, Q97FS5, Q8YSY4, O26232, Q8FT43, P58883, P9WIU2, P11172, Q9P9M3, P9WIU3, O58462, Q42942, G5EDZ2, O08323, Q9CCR1, Q9RSC5, Q8RZA1, P25971, P24220, P08244, Q8XL62, P96076, Q01637	('Q12724', 0.67)	
Kt2r	potassium reversible transport via proton symport	RHEA:28490, RHEA:28492, RHEA:28493, RHEA:28491	P96589, P63183	('Q6C691', 0.675)	('Q6C2K9', 0.655), ('Q6C8H1', 0.626), ('Q6C0C9', 0.619), ('Q6C8X5', 0.617), ('Q6C312', 0.61), ('Q6C8R1', 0.595), ('Q6C3A6', 0.594), ('Q6CGM1', 0.591), ('Q6C6Q5', 0.586), ('Q6CHL8', 0.578), ('Q6CGG5', 0.555), ('Q6CDZ1', 0.528)
M1PD	mannitol 1 phosphate 5 dehydrogenase	RHEA:19661, RHEA:19663, RHEA:19662, RHEA:19664, EC:1.1.1.17	Q0CXS6, Q9XBM6, Q02418, Q2U059, A1C6B4, A6RGF3, Q2H2D7, P27543, Q45421, B6HRL5, L7IBL2, B2WME4, Q6UQ76, P57634, P42957, B0XS99, Q0U6E8, B2AND4, Q5B0F5, P55800, A2QD49, P0CT14, Q874B3, P78008, O65992, Q7SA44, A7F8U1, Q4X1A4, Q1DP56, A1DGY9, B6QP49, P09424, Q8NJJ1	('Q6C092', 0.552)	
MACACI	maleylacetoacetate isomerase	RHEA:14819, RHEA:14817, RHEA:14818, RHEA:14820, EC:5.2.1.2	P57109, O43123, Q9WVL0, Q9VHD2, Q9KSB2, Q54YN2, Q18938, Q9VHD3, O43708, Q9X4F7, P57113	('Q6CHP3', 0.803)	('Q6CB91', 0.783), ('Q6C0D9', 0.772), ('Q6CD77', 0.717), ('Q6CBS2', 0.714), ('Q6CEV6', 0.68), ('Q6CAT7', 0.659), ('Q6C3X4', 0.587)
MCOATAm	Malonyl CoA ACP transacylase mitochondrial	RHEA:41792, EC:2.3.1.39	Q99UN8, Q9R9J2, P0AAI9, P34229, Q6G9Y3, Q5HGK3, Q7A5Z3, P43712, P0AAJ0, P07149, P34731, Q6GHK5, O34825, P19096, O85140, O34787, Q8T3L6, A7Z4Y0, P9WNG5, P71019, Q93QD4, Q8X8I7, P73242, P12785, Q9UUG0, P49327, Q8K9J6, P63459, Q12283, Q89AH0, Q7A124, P9WNG4, Q8IVS2, O13698, A0R0B2, A7Z4X8, P12276	('Q6C5F2', 0.764)	
NADN	NAD nucleosidase	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	A1AY86, A0A151EH88, I1GTC2, G8SD34, Q6SZW1, F4HT77, Q86DA5, F1QWA8, V9M398, A0A2T5Y4G4, Q6IDD9, P0DTS9, A0A1I4KS07, Q833J1, A0A0H2V8B5, Q6PDS3, A0A009IHW8, Q40253		
NADN	NAD nucleosidase	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	Q64244, Q27312, P28907, Q9MZ03, Q10588, P56528, Q5VAN0		
NADN	NAD nucleosidase	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	O35975, P17981		
NADNm	NAD nucleosidase mitochondrial	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	A1AY86, A0A151EH88, I1GTC2, G8SD34, Q6SZW1, F4HT77, Q86DA5, F1QWA8, V9M398, A0A2T5Y4G4, Q6IDD9, P0DTS9, A0A1I4KS07, Q833J1, A0A0H2V8B5, Q6PDS3, A0A009IHW8, Q40253		
NADNm	NAD nucleosidase mitochondrial	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	Q64244, Q27312, P28907, Q9MZ03, Q10588, P56528, Q5VAN0		
NADNm	NAD nucleosidase mitochondrial	RHEA:16303, RHEA:16301, RHEA:16302, RHEA:16304, EC:3.2.2.5	O35975, P17981		
NADPPPS	NADP phosphatase	RHEA:28050, RHEA:28052, RHEA:28053, RHEA:28051, EC:3.1.3.108	A8JQX3, Q9UK39	('Q6CEJ6', 0.638)	('Q6CCK4', 0.579)
NADPPPSm	NADP phosphatase	RHEA:28050, RHEA:28052, RHEA:28053, RHEA:28051, EC:3.1.3.108	A8JQX3, Q9UK39	('Q6CEJ6', 0.638)	('Q6CCK4', 0.579)
NH4tp	ammonia peroxisomal transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	Q9H310, Q9UBD6, Q8BUX5, Q02094, Q9QUT0	('Q6C1W2', 0.707)	('Q6CGH6', 0.693), ('Q6C4F5', 0.689), ('Q6CEQ8', 0.674), ('Q6C1F0', 0.674), ('Q6CI29', 0.668)
NH4tp	ammonia peroxisomal transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	Q28181, Q00194, Q9NQW8, Q29441		
NH4tp	ammonia peroxisomal transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	P56404, P56405	('Q6C3A8', 0.717)	('Q6C6W7', 0.701), ('Q6C3E2', 0.668)
AATA	2 aminoadipate transaminase	RHEA:12601, RHEA:12603, RHEA:12604, RHEA:12602, EC:2.6.1.39	Q8N5Z0, Q72LL6, Q64602, P53090	('Q6C551', 0.865)	('Q6CCZ6', 0.824), ('Q6C6L9', 0.717), ('Q6C490', 0.712), ('Q6CAQ4', 0.712), ('Q6C6R2', 0.706), ('Q6CA32', 0.685), ('Q6C7F4', 0.681), ('Q6CFZ7', 0.622), ('Q6BZZ9', 0.614), ('Q6CG81', 0.596), ('Q6C4B5', 0.546)
OCDCEAt	Octadecenoate n C181 transport in via uniport	RHEA:33656, RHEA:33657, RHEA:33658, RHEA:33655	Q9Y2P4, Q6PCB7, Q60714, Q6P1M0, O14975	('Q6C5Q8', 0.763)	('Q6C2Q5', 0.702), ('Q6CH10', 0.677), ('Q6CGX7', 0.671), ('Q6CCW9', 0.667), ('Q6C634', 0.665), ('Q6CFE4', 0.659), ('Q6CCH6', 0.642), ('Q6C2M7', 0.641), ('Q6C650', 0.641), ('Q6C6V4', 0.639), ('Q6C577', 0.634), ('Q6C670', 0.62), ('Q6C8S6', 0.613), ('Q6CFN2', 0.609), ('Q6C8Q3', 0.592), ('Q6CCC2', 0.53)
P5CDm	1 pyrroline 5 carboxylate dehydrogenase mitochondrial	RHEA:16419, RHEA:16420, RHEA:16417, RHEA:16418, EC:1.2.1.88	Q9K5Z5, P10503, P78568, Q54RA2, Q8CHT0, Q8VZC3, O52485, Q9P8I0, Q7SY23, P39634, P30038, A7YWE4, Q9K9B2, P95629, P09546, P0C2X9, O74766, P07275	('Q6CF74', 0.921)	('Q6C9V7', 0.885), ('Q6CD79', 0.881), ('Q6CGH0', 0.88), ('Q6C2W9', 0.868), ('Q6CDB9', 0.856), ('Q6C7J6', 0.854), ('Q6C0B4', 0.853), ('Q6C5T1', 0.774), ('Q6C0L0', 0.774), ('Q6CGN3', 0.774), ('Q6CG32', 0.759), ('Q6C697', 0.745), ('Q6C421', 0.553)
PCLAD	picolinic acid decarboxylase	RHEA:16557, RHEA:16558, RHEA:16559, RHEA:16560, EC:4.1.1.45	Q8TDX5, Q0II68, Q54LN9, Q8R519, Q8R5M5		
PIt2p	phosphate peroxisomal transport via proton symport	RHEA:29942, RHEA:29939, RHEA:29940, RHEA:29941	P25297, Q8GSG4	('Q6CG86', 0.869)	('Q6CGX6', 0.868), ('Q6CCJ1', 0.754), ('Q6CCU6', 0.738), ('Q6CH11', 0.736), ('Q6CG69', 0.734), ('Q6C9U1', 0.733), ('Q6CBN6', 0.719), ('Q6CBN7', 0.708), ('Q6C152', 0.706), ('Q6C2L7', 0.701), ('Q6CI42', 0.699), ('F2Z653', 0.692), ('Q6C8K6', 0.692), ('Q6CD11', 0.684), ('Q6C0K5', 0.683), ('Q6CEH9', 0.683), ('Q6C6Y3', 0.682), ('Q6CAP1', 0.68), ('Q6CEA9', 0.678), ('Q6CE30', 0.678), ('Q6CDU0', 0.678), ('Q6CE31', 0.677), ('Q6C0E0', 0.677), ('Q6CC59', 0.677), ('Q6CAS4', 0.675), ('Q6C576', 0.674), ('W0TYN6', 0.674), ('Q6CBQ5', 0.673), ('Q6CAT5', 0.668), ('Q6C7X3', 0.662), ('Q6C2Q4', 0.657), ('Q6CFJ6', 0.656), ('Q6CG30', 0.654), ('Q6C4W0', 0.653), ('Q6CDG0', 0.652), ('Q6C025', 0.651), ('Q6C1A0', 0.645), ('Q6C137', 0.639), ('Q6C574', 0.636), ('Q6CD26', 0.636), ('Q6C3Q6', 0.635), ('Q6CBU1', 0.635), ('Q6C9M0', 0.635), ('Q6CI95', 0.634), ('Q6C1C6', 0.634), ('Q6C0H0', 0.632), ('Q6CB29', 0.631), ('Q6C0J9', 0.63), ('Q6C1G6', 0.621), ('Q6C031', 0.621), ('Q6C581', 0.617), ('Q6CGP0', 0.617), ('Q6CCF5', 0.616), ('Q6C9D4', 0.616), ('Q6CHZ5', 0.615), ('Q6C8F4', 0.614), ('Q6CB72', 0.612), ('Q6C0W8', 0.612), ('Q6C952', 0.612), ('Q6CD90', 0.61), ('Q6C2L4', 0.61), ('Q6CDU4', 0.607), ('Q6CC13', 0.606), ('Q6C8C4', 0.606), ('Q6CA52', 0.605), ('Q6C6D0', 0.605), ('Q6CBB3', 0.604), ('Q6CG07', 0.602), ('Q6CCR5', 0.6), ('Q6C4F3', 0.6), ('Q6C1S6', 0.6), ('Q6C0D7', 0.599), ('Q6CD18', 0.597), ('F2Z6D9', 0.596), ('Q6CB18', 0.596), ('Q6C8N0', 0.595), ('Q6CE14', 0.594), ('Q6CI79', 0.593), ('Q6CCM3', 0.593), ('Q6C3H0', 0.591), ('Q6CCK8', 0.588), ('Q6C8F6', 0.588), ('Q6CH77', 0.584), ('Q6CBN8', 0.583), ('Q6C0D8', 0.582), ('Q6C2G6', 0.582), ('Q6CDV0', 0.582), ('Q6C8F0', 0.581), ('Q6CCU2', 0.581), ('Q6CCP4', 0.58), ('Q6CGJ0', 0.578), ('Q6C539', 0.577), ('Q6CE82', 0.574), ('Q6CGU8', 0.573), ('Q6C5H1', 0.571), ('Q6CGP4', 0.57), ('Q6CD19', 0.569), ('Q6C2L1', 0.569), ('Q6CAS2', 0.569), ('Q6C8P9', 0.569), ('Q6CGV6', 0.569), ('Q6C4M8', 0.568), ('Q6C7W7', 0.568), ('Q6C039', 0.567), ('Q6CCC4', 0.567), ('Q6C1S0', 0.566), ('Q6CDG9', 0.565), ('Q6C745', 0.565), ('Q6CDF9', 0.564), ('Q6C1Q4', 0.564), ('Q6C878', 0.563), ('Q6CEE0', 0.563), ('Q6CBM4', 0.563), ('Q6CFC0', 0.563), ('Q6C4F7', 0.563), ('Q6BZW3', 0.562), ('Q6CI92', 0.56), ('Q6CB15', 0.558), ('Q6CGW3', 0.558), ('Q6C8Z9', 0.556), ('Q6CBM9', 0.554), ('Q6C1T2', 0.553), ('Q6CBM5', 0.552), ('Q6C843', 0.551), ('Q6CFJ8', 0.549), ('Q6BZZ0', 0.543), ('Q6C7X0', 0.542), ('Q6C2K7', 0.542), ('Q6C9N1', 0.541), ('Q6C300', 0.538), ('Q6C2Z8', 0.534), ('Q6CGY6', 0.533), ('Q6CCQ9', 0.532), ('Q6C3G0', 0.531), ('Q6C8Y0', 0.529), ('Q6CE20', 0.527), ('Q6C155', 0.525), ('Q6CD98', 0.522), ('Q6CD09', 0.521), ('Q6CGR1', 0.51)
PIt2v	phosphate vacuolar transport via proton symport	RHEA:29942, RHEA:29939, RHEA:29940, RHEA:29941	P25297, Q8GSG4	('Q6CG86', 0.869)	('Q6CGX6', 0.868), ('Q6CCJ1', 0.754), ('Q6CCU6', 0.738), ('Q6CH11', 0.736), ('Q6CG69', 0.734), ('Q6C9U1', 0.733), ('Q6CBN6', 0.719), ('Q6CBN7', 0.708), ('Q6C152', 0.706), ('Q6C2L7', 0.701), ('Q6CI42', 0.699), ('F2Z653', 0.692), ('Q6C8K6', 0.692), ('Q6CD11', 0.684), ('Q6C0K5', 0.683), ('Q6CEH9', 0.683), ('Q6C6Y3', 0.682), ('Q6CAP1', 0.68), ('Q6CEA9', 0.678), ('Q6CE30', 0.678), ('Q6CDU0', 0.678), ('Q6CE31', 0.677), ('Q6C0E0', 0.677), ('Q6CC59', 0.677), ('Q6CAS4', 0.675), ('Q6C576', 0.674), ('W0TYN6', 0.674), ('Q6CBQ5', 0.673), ('Q6CAT5', 0.668), ('Q6C7X3', 0.662), ('Q6C2Q4', 0.657), ('Q6CFJ6', 0.656), ('Q6CG30', 0.654), ('Q6C4W0', 0.653), ('Q6CDG0', 0.652), ('Q6C025', 0.651), ('Q6C1A0', 0.645), ('Q6C137', 0.639), ('Q6C574', 0.636), ('Q6CD26', 0.636), ('Q6C3Q6', 0.635), ('Q6CBU1', 0.635), ('Q6C9M0', 0.635), ('Q6CI95', 0.634), ('Q6C1C6', 0.634), ('Q6C0H0', 0.632), ('Q6CB29', 0.631), ('Q6C0J9', 0.63), ('Q6C1G6', 0.621), ('Q6C031', 0.621), ('Q6C581', 0.617), ('Q6CGP0', 0.617), ('Q6CCF5', 0.616), ('Q6C9D4', 0.616), ('Q6CHZ5', 0.615), ('Q6C8F4', 0.614), ('Q6CB72', 0.612), ('Q6C0W8', 0.612), ('Q6C952', 0.612), ('Q6CD90', 0.61), ('Q6C2L4', 0.61), ('Q6CDU4', 0.607), ('Q6CC13', 0.606), ('Q6C8C4', 0.606), ('Q6CA52', 0.605), ('Q6C6D0', 0.605), ('Q6CBB3', 0.604), ('Q6CG07', 0.602), ('Q6CCR5', 0.6), ('Q6C4F3', 0.6), ('Q6C1S6', 0.6), ('Q6C0D7', 0.599), ('Q6CD18', 0.597), ('F2Z6D9', 0.596), ('Q6CB18', 0.596), ('Q6C8N0', 0.595), ('Q6CE14', 0.594), ('Q6CI79', 0.593), ('Q6CCM3', 0.593), ('Q6C3H0', 0.591), ('Q6CCK8', 0.588), ('Q6C8F6', 0.588), ('Q6CH77', 0.584), ('Q6CBN8', 0.583), ('Q6C0D8', 0.582), ('Q6C2G6', 0.582), ('Q6CDV0', 0.582), ('Q6C8F0', 0.581), ('Q6CCU2', 0.581), ('Q6CCP4', 0.58), ('Q6CGJ0', 0.578), ('Q6C539', 0.577), ('Q6CE82', 0.574), ('Q6CGU8', 0.573), ('Q6C5H1', 0.571), ('Q6CGP4', 0.57), ('Q6CD19', 0.569), ('Q6C2L1', 0.569), ('Q6CAS2', 0.569), ('Q6C8P9', 0.569), ('Q6CGV6', 0.569), ('Q6C4M8', 0.568), ('Q6C7W7', 0.568), ('Q6C039', 0.567), ('Q6CCC4', 0.567), ('Q6C1S0', 0.566), ('Q6CDG9', 0.565), ('Q6C745', 0.565), ('Q6CDF9', 0.564), ('Q6C1Q4', 0.564), ('Q6C878', 0.563), ('Q6CEE0', 0.563), ('Q6CBM4', 0.563), ('Q6CFC0', 0.563), ('Q6C4F7', 0.563), ('Q6BZW3', 0.562), ('Q6CI92', 0.56), ('Q6CB15', 0.558), ('Q6CGW3', 0.558), ('Q6C8Z9', 0.556), ('Q6CBM9', 0.554), ('Q6C1T2', 0.553), ('Q6CBM5', 0.552), ('Q6C843', 0.551), ('Q6CFJ8', 0.549), ('Q6BZZ0', 0.543), ('Q6C7X0', 0.542), ('Q6C2K7', 0.542), ('Q6C9N1', 0.541), ('Q6C300', 0.538), ('Q6C2Z8', 0.534), ('Q6CGY6', 0.533), ('Q6CCQ9', 0.532), ('Q6C3G0', 0.531), ('Q6C8Y0', 0.529), ('Q6CE20', 0.527), ('Q6C155', 0.525), ('Q6CD98', 0.522), ('Q6CD09', 0.521), ('Q6CGR1', 0.51)
PMDPHT	pyrimidine phosphatase	RHEA:25199, RHEA:25200, RHEA:25197, RHEA:25198, EC:3.1.3.104	P42962, P0ADP0, P70947, Q84VZ1, Q9LDD5, Q8A947, P96741, P75809, F4JTE7		
PPND	prephenate dehydrogenase	RHEA:13870, RHEA:13872, RHEA:13871, RHEA:13869, EC:1.3.1.12	Q2FH71, Q4L672, Q5HPH6, Q99UB6, Q02287, P07023, Q9CET9, Q6G9J4, P43901, Q8EH68, Q2FYS1, Q7A5R7, P43902, Q5HG54, Q2YXV4, Q04983, Q8NWU6, Q6GH39, P20692, Q9L9G2, O69721, Q49XG5, Q8CPB5	('Q6C1B7', 0.744)	
NH4tm	NH3 mitochondrial transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	Q9H310, Q9UBD6, Q8BUX5, Q02094, Q9QUT0	('Q6C1W2', 0.707)	('Q6CGH6', 0.693), ('Q6C4F5', 0.689), ('Q6CEQ8', 0.674), ('Q6C1F0', 0.674), ('Q6CI29', 0.668)
NH4tm	NH3 mitochondrial transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	Q28181, Q00194, Q9NQW8, Q29441		
NH4tm	NH3 mitochondrial transport	RHEA:28748, RHEA:28747, RHEA:28749, RHEA:28750	P56404, P56405	('Q6C3A8', 0.717)	('Q6C6W7', 0.701), ('Q6C3E2', 0.668)
THRt2m	threonine mitochondrial transport via proton symport	RHEA:28886, RHEA:28883, RHEA:28884, RHEA:28885	P0AAD8	('Q6C9E5', 0.6957)	('Q6CGM1', 0.6793), ('Q6C9P9', 0.6743), ('Q6CE18', 0.6653), ('Q6CCP6', 0.6645), ('Q6C2K9', 0.661), ('Q6CF79', 0.6604), ('Q6CDH6', 0.6599), ('Q6CED5', 0.6598), ('Q6C902', 0.6594), ('Q6C8H1', 0.6572), ('Q6CGG5', 0.6556), ('Q6CBM6', 0.6532), ('Q6C5G9', 0.6519), ('Q6C4Z1', 0.6463), ('Q6C4A9', 0.6426), ('Q6C6Q5', 0.6422), ('Q6C8R1', 0.6418), ('Q6C122', 0.6393), ('Q6CC65', 0.6386), ('Q6C563', 0.63), ('Q6C0C9', 0.6286), ('Q6CFS0', 0.6263), ('Q6BZX9', 0.6261), ('Q6C3A6', 0.6187), ('Q6C2K5', 0.6158), ('Q6C7M8', 0.6116), ('Q6C7J4', 0.6095), ('Q6C6C3', 0.6093), ('Q6CE13', 0.6088), ('Q6BZV6', 0.6063), ('Q6C6E2', 0.6057), ('Q6CCF3', 0.6006), ('Q6C312', 0.595), ('Q6C8X5', 0.5918), ('Q6C9Y3', 0.5911), ('Q6CDZ1', 0.5879), ('Q6CAR8', 0.5827), ('Q6CBT1', 0.558), ('Q6CE01', 0.5448), ('Q6CHL8', 0.5323), ('Q6CFS8', 0.5219), ('Q6CHZ3', 0.521), ('Q6C496', 0.5189)
PTRCt2	putrescine transport in via proton symport	RHEA:28892, RHEA:28893, RHEA:28894, RHEA:28891	P0AAF1	('Q6CGG5', 0.835)	('Q6C8R1', 0.8329), ('Q6CHL8', 0.8197), ('Q6CGM1', 0.814), ('Q6C312', 0.8109), ('Q6C8H1', 0.8106), ('Q6C8X5', 0.8103), ('Q6CHZ3', 0.8086), ('Q6C2K9', 0.806), ('Q6CDZ1', 0.8048), ('Q6C0C9', 0.8039), ('Q6CED5', 0.7998), ('Q6C122', 0.7952), ('Q6C9P9', 0.7946), ('Q6C3B4', 0.7935), ('Q6CBM6', 0.7911), ('Q6C6E2', 0.791), ('Q6CAR8', 0.7907), ('Q6C3A6', 0.7852), ('Q6C6Q5', 0.7819), ('Q6CE13', 0.7795), ('Q6CDH6', 0.7719), ('Q6C563', 0.7713), ('Q6CE01', 0.7705), ('Q6CFS0', 0.7701), ('Q6CE18', 0.7673), ('Q6CCF3', 0.7581), ('Q6CF79', 0.7569), ('Q6C902', 0.7525), ('Q6C5G9', 0.7403), ('Q6CCP6', 0.719), ('Q6C4Z1', 0.6277), ('Q6C9Y3', 0.6106), ('Q6BZV6', 0.6037), ('Q6C7M8', 0.5932), ('Q6CD22', 0.5894), ('Q6C4A9', 0.5803), ('Q6C9E5', 0.5787), ('Q6C691', 0.5689), ('Q6C496', 0.5574), ('Q6CCD6', 0.5542), ('Q6CFS8', 0.5446), ('Q6CBT1', 0.5412), ('Q6C3M5', 0.5325), ('Q6CC65', 0.5309), ('Q6BZX9', 0.5306), ('Q6C2K5', 0.5165), ('Q6C6C3', 0.5122)
PYNP2r	pyrimidine nucleoside phosphorylase uracil	RHEA:24388, RHEA:24390, RHEA:24391, RHEA:24389, EC:2.4.2.2	G4VGI0, P52624, O95045, P12758, Q16831, Q23588, Q8CGR7	('Q6BZX6', 0.552)	
PYNP2r	pyrimidine nucleoside phosphorylase uracil	RHEA:24388, RHEA:24390, RHEA:24391, RHEA:24389, EC:2.4.2.2	P77836, P39142	('Q6C7L2', 0.635)	
RIBFLVtm	Riboflavin reversible mitochondrial transport	RHEA:35018, RHEA:35016, RHEA:35015, RHEA:35017	G4SDH4, Q9NQ40, Q3LFN0, Q9HAB3, Q9NWF4	('Q6BZW3', 0.602)	('Q6CAY5', 0.576), ('Q6C300', 0.532)
